Fecha,Muertes,Policias,Departamento
2019-04-07,0,60,0
2019-04-14,0,0,0
2019-04-21,0,0,0
2019-04-28,0,0,0
2019-05-05,0,56,0
2019-05-12,0,0,0
2019-05-19,0,0,0
2019-05-26,0,47,47
2019-06-02,54,0,0
2019-06-09,0,0,50
2019-06-16,49,0,0
2019-06-23,0,0,53
2019-06-30,0,0,0
2019-07-07,0,0,0
2019-07-14,0,0,0
2019-07-21,0,0,0
2019-07-28,0,0,0
